szName	nLevel	nPortrait	nFaction	nHonorLevel	szTitle	szA1	szA2	szA3	szA4	nRight	nResId
Dương Anh	100	66		6	Trạng nguyên đầu tiên của Việt Nam là ai?	Nguyễn Bỉnh Khiêm	Mạc Đỉnh Chi	Trịnh Tuệ	Nguyễn Hiền	4	141
Đường Ảnh	100	100		6	Đinh Bộ Lĩnh lên ngôi vua đã đặt quốc hiệu là gì?	Đại Việt	Vạn Xuân	Đại Cồ Việt	Đại Ngu	3	119
Mạnh Tri Thu	100	102		6	Khởi nghĩa Tây Sơn bắt đầu đầu từ địa phương nào?	Quảng Trị	Quảng Nam	Hà Nội	Bình Định	4	156
Vạn Kim Tài	100	105		6	Triều Nguyễn đã trải qua bao nhiêu đời vua?	13	11	10	12	1	146
Thượng Quan Phi Long	100	109		6	Sơn Tinh là thần núi nào?	Hồng Lĩnh	Sóc Sơn	Tản Viên	Yên Tử	3	21
Nạp Lan Tiềm Lẫm	100	111		6	Khăn Piêu là vật truyền thống của đồng bào dân tộc nào?	Thái	Tày	Nùng	Dao	1	187
Thiên Tinh Đạo Trưởng	100	114		6	Hịch Tướng Sĩ là tác phẩm nổi tiếng của nhân vật nào?	Nguyễn Du	Lý Thánh Tông	Nguyễn Trãi	Trần Hưng Đạo	4	13
Trác Phi Phàm	100	117		6	Lang Liêu là con trai của vua Hùng Vương thứ mấy?	Thứ 1	Thứ 6	Thứ 7	Thứ 18	2	194
Huyền Thiên Đạo Nhân	100	125		6	Bài thơ Bánh Trôi Nước là của nữ sĩ nào?	Sương Nguyệt Anh	Đoàn Thị Điểm	Xuân Quỳnh	Hồ Xuân Hương	4	16
Nam Cung Phi	100	106		6	Thạch Sanh được ai tặng cây đàn thần?	Chằn tinh	Công chúa	Con Thủy Tề	Lý Thông	3	27
