nId	szQuestion	nUpper	nAnswerId	szA1	szA2	szA3	szA4
1	Năm mới hạnh phúc bình an đến	1	1	Ngày xuân vinh hoa phú quý về	Ngày xuân vinh hoa bình an về	Ngày xuân hạnh phúc phú quý về	Năm mới vinh hoa phú quý về
2	Nhiều con nhiều cháu nhiều phú quý	1	2	Được tài được lộc được phú quý	Được tài được lộc được lòng dân	Nhiều tài nhiều lộc nhiều lòng dân	Được tài được lộc được lòng dân
3	Xuân an khang đức tài như ý	1	3	Xuân thịnh vượng phúc thọ vô biên	Năm thịnh vượng phúc tài vô biên	Năm thịnh vượng phúc thọ vô biên	Năm an khang phúc thọ vô biên
4	Cửa nhiều khách đến nhiều tiền đến	1	4	Nhà có người vào lắm tiền vào	Nhà có khách vào lắm vật vào	Cửa có người vào lắm vật vào	Nhà có người vào lắm vật vào
5	Phúc đầy nhà năm thêm giàu có	1	1	Đức ngập tràn ngày một vinh hoa	Đức ngập tràn ngày một giàu có	Phúc ngập tràn ngày một vinh hoa	Đức đầy nhà ngày một vinh hoa
6	Sơn thủy thanh cao xuân mãi mãi	1	2	Thần tiên vui thú xuân đời đời	Thần tiên vui thú cảnh đời đời	Sơn thủy vui thú cảnh đời đời	Thần tiên thanh cao cảnh đời đời
7	Lộc biếc mai vàng Xuân hạnh phúc	1	3	Lộc vui sức khỏe Tết an khang	Đời vui đào biếc Tết an khang	Đời vui sức khỏe Tết an khang	Đời vui sức khỏe Tết lộc tài
8	Cạn ly mừng năm qua đắc lộc	1	4	Nâng ly chúc năm mới phát tài	Nâng cốc mừng năm mới phát tài	Cạn cốc chúc năm mới phát tài	Nâng cốc chúc năm mới phát tài
9	Tống cựu nghinh tân mừng xuân mới	1	1	Dân an quốc thái đón thanh bình	Dân an quốc thái đón xuân sang	Dân an quốc thái mừng thanh bình	Dân an quốc thái đón xuân mới
10	Oanh ca yến múa mừng xuân trẻ	1	2	Nước thịnh dân giàu hưởng xuân sang	Nước thịnh dân giàu hưởng phúc chung	Nước thịnh dân giàu mừng phúc chung	Nước dân ca múa hưởng phúc chung
11	Nắng Xuân rực rỡ nhà trẩy hội	1	3	Gió Đông buốt lạnh nhà bán mua	Gió Đông rực rỡ người bán mua	Gió Đông buốt lạnh người bán mua	Gió Xuân buốt lạnh người bán mua
