Type	Wuxing	Explain	Arrangement	RewardGroup	SkillId	SkillLevel	SkillTime
12	Kim Mộc	Hôm nay có lợi nhưng cũng không thể coi thường điều khó khăn	Suy trước tính sau\nLỗ mãng mạo hiểm thì chỉ đem đến hậu quả nặng nề.	1	2301	4	7200
112	Kim Kim Mộc	Kim năng sinh Thủy, Thủy đa Kim trầm! Dùng vũ lực đoạt lợi, chỉ có hại.	Dừng đúng lúc\nHôm nay không tiện chiến đấu, hãy nghỉ ngơi tu dưỡng. 	2	2301	5	7200
1112	Kim Kim Kim Mộc	Kim suy ngộ Hỏa! Cường địch trước mắt, cẩn thận.	Án binh bất động\nTùy cơ ứng biến, tấn công nhanh sẽ bị thua.	3	2301	6	7200
11112	Kim Kim Kim Kim Mộc	Kim lại Thổ sinh, Thổ đa Kim mai! Thói hư chôn vùi tài năng con người.	Tiềm Long chớ dùng\nTrời chuyển dịch mạnh mẽ, quân tử không ngừng vươn lên.	4	2301	7	7200
13	Kim Thủy	Mộc nhược phùng Kim, tất vi chước chiết! Hôm nay hành sự chỉ có hại.	Không lo không nghĩ\nHôm nay không nghĩ đến việc tranh đoạt thì khi ngủ không phải lo.	1	2301	4	7200
113	Kim Kim Thủy	Mộc lại Thủy sinh, Thủy đa Mộc phiêu! Số mệnh chưa hết.	Nghĩ xa không nghĩ gần\nQuân tử không nghĩ xa, phải nghĩ gần, vận may còn nhưng sắp hết.	2	2301	5	7200
1113	Kim Kim Kim Thủy	Mộc năng sinh Hỏa, Hỏa đa Mộc phần! Thời vận hết, vận mệnh khó đoán.	Tĩnh hậu giai âm\n>Lấy sự nhẫn nại để đối nhân xử thế, ắt có phúc lớn về sau.	3	2301	6	7200
11113	Kim Kim Kim Kim Thủy	Mộc năng khắc Thổ, Thổ đa Mộc chiết! Vô phúc ắt tiêu vong.	Không tham lam\nMới là chính nhân quân tử.	4	2301	7	7200
14	Kim Hỏa	Thủy lại Kim sinh, Kim đa Thủy trọc. Nước vốn bao dung nhưng cũng có hạn.	Hành sự theo cảm tính\nViệc bao dung vô hạn có khi làm hại người khác.	1	2301	4	7200
114	Kim Kim Hỏa	Thủy năng sinh Mộc, Mộc đa Thủy thúc! Đầu đuôi cũng do sự đố kỵ	Dùng lòng thành đối đãi\nắt sẽ được hồi báo.	2	2301	5	7200
1114	Kim Kim Kim Hỏa	Thủy năng khắc Hỏa, Hỏa đa Thủy kiền! Tình tuy vô biên nhưng cuộc sống hữu hạn.	Tâm mê muội\nNhư lửa mạnh, nước yếu khó dập tắt.	3	2301	6	7200
11114	Kim Kim Kim Kim Hỏa	Thủy nhược phùng Thổ, tất vi ứ tắc! Khổng Tử nhập thế, khanh làm thế nào để hùng mạnh	Thập tâm tà dương hạ\nVãn xuân dĩ chí, tương tư vô hoa, thu thực nan vọng, cổ đạo si tâm.	4	2301	7	7200
15	Kim Thổ	Hôm nay tương đối thuận lợi, nhưng không phải không có khó khăn.	Mọi việc chú tâm\nTrăm ngàn manh mối, không được bỏ sót.	1	2301	4	7200
115	Kim Kim Thổ	Hỏa lại Mộc sinh, Mộc đa Hỏa sí! Chí lớn chưa thành, không ngơi nghỉ.	Tĩnh tâm\nTâm loạn thì chí khó thành..	2	2301	5	7200
1115	Kim Kim Kim Thổ	Chí lớn không nên nản, chỉ vì thời cơ chưa đến.	Nằm gai nếm mật\nQuân tử hành động khi có thời cơ, đừng màng đến những chuyện không đáng.	3	2301	6	7200
11115	Kim Kim Kim Kim Thổ	Hỏa năng sinh Thổ, Thổ đa Hỏa hối! Chí lớn chưa thành, không từ bỏ.	Nghe gà gáy thức dậy múa kiếm\nCon đường nhập thế, phải thận trọng.	4	2301	7	7200
11111	Kim Kim Kim Kim Kim 	Thổ năng sinh Kim, Kim đa Thổ biến! Mọi biến huyễn đều trở về nguồn cội.	Mộc dục phần hương\nTịnh dưỡng sinh tức, đoan chính tâm phách.	5	2301	8	7200
21	Mộc Kim	Thổ nhược phùng Mộc, tất vi khuynh hãm! Quân tử tránh xa cái lợi.	Tấm lòng chính nghĩa\nKhông dưỡng tự thành.	1	2302	4	7200
221	Mộc Mộc Kim	Thổ năng khắc Thủy, Thủy đa Thổ lưu! Nước giống như người loạn tâm, thái quá làm tổn hại tu vi.	Thiền tư\nPhi ngoại vật loạn, tâm động dã, tịnh.	2	2302	5	7200
2221	Mộc Mộc Mộc Kim	Thổ lại Hỏa sinh, Thủy đa Thổ lưu! Đừng gấp gáp.	Uống rượu, trò chuyện\nBạn của ruộng đồng, vui với chuyện nông gia.	3	2302	6	7200
22221	Mộc Mộc Mộc Mộc Kim	Lưỡng kim khắc mộc, gỗ tuy cứng, nhưng cũng sẽ gãy. Hành sự hôm nay lợi nhiều hơn hại.	Hãy dũng cảm thử sức\nThành bại là chuyện thường.	4	2302	7	7200
23	Mộc Thủy	Lưỡng kim sinh thủy, nước tuy nhiều nhưng không chìm! Đấu võ với nhau, có được có mất.	Dùng võ cẩn thận\nVõ công tuy cao nhưng nếu làm người khác bị thương thì bản thân cũng sẽ bị thương.	1	2302	4	7200
223	Mộc Mộc Thủy	Quyết chí đấu, thành công hay không sẽ biết ngay.	Dốc toàn lực\nQuân tử không thoái lui, chỉ có một cách là tiến lên phía trước.	2	2302	5	7200
2223	Mộc Mộc Mộc Thủy	Lưỡng kim thổ mai, vô song chi tài, ắt có ngày hiện!	Lợi Kiến đại nhân\nPhố Thiên Lý Mã, chỉ có Bách Lạc biết.	3	2302	6	7200
22223	Mộc Mộc Mộc Mộc Thủy	Hành sự hôm nay lợi nhiều hơn hại.	Tái chiến\nThắng thua là chuyện thường tình.	4	2302	7	7200
24	Mộc Hỏa	Số mệnh tại trời, tuân theo mà sống.	Thuận theo tự nhiên\nCây có thể làm thuyền, dùng tạm để đi trên nước.	1	2302	4	7200
224	Mộc Mộc Hỏa	Con đường của người quân tử, thật thênh thang.	To gan hành sự\nTiền đồ hiểm nguy, dũng giả thắng.	2	2302	5	7200
2224	Mộc Mộc Mộc Hỏa	Đối Mộc cô Thổ, thời vận thuận lợi, điều tốt đẹp đến liên tục.	Học hành chăm chỉ\nSố phận long đong, có trời giúp.	3	2302	6	7200
22224	Mộc Mộc Mộc Mộc Hỏa	Lưỡng thủy kim sinh, vàng tuy nhiều nhưng không đục. Chuyện tình cảm, bao dung là tốt.	Nghĩa của tình\nCon đường tình cảm, vốn chẳng dễ dàng, nên bao dung tạo phúc.	4	2302	7	7200
25	Mộc Thổ	Lưỡng thủy sinh mộc, gỗ tuy nhiều, nhưng không sống dựa dẫm. Không có gì phải thẹn với lòng.	Giải sầu\nThốt lên tiếng nói tự đáy lòng mình, tỏ tường như ánh trăng khuya.	1	2302	4	7200
225	Mộc Mộc Thổ	Cường thủy nhược hỏa, thắng phụ dĩ phân! Thủy Hỏa vốn vô tình.	Chân Tình\nĐa tình với vô tình, như nước chảy lá rơi.	2	2302	5	7200
2225	Mộc Mộc Mộc Thổ	Nước cho dù yếu nhưng vẫn xói mòn được đất.	Lòng si mê\nTình đượm nồng, giải băng tâm.	3	2302	6	7200
22225	Mộc Mộc Mộc Mộc Thổ	Lưỡng hỏa khắc kim, vàng tuy cứng nhưng gặp lửa sẽ tan chảy. Thế lửa mạnh khó mà cản.	Sấm chớp gió giật\nNgười làm việc lớn, không nên câu nệ tiểu tiết	4	2302	7	7200
22222	Mộc Mộc Mộc Mộc Mộc	Hỏa khắc mộc! Thuận theo tự nhiên, thiện tai!	Giữ vững tâm tính\nCho dù có lúc tâm gặp xáo động, vẫn chế ngự được dễ dàng.	5	2302	8	7200
31	Thủy Kim	Sức mạnh của kẻ tiểu tốt, không thể xem thường.	Chăm lo tướng sĩ\nTráng chí sẽ thành, ổn định lòng quân.	1	2303	4	7200
331	Thủy Thủy Kim	Song Hỏa sinh Thổ, chí dễ toại!	Đoàn tụ\nUống nước nói chuyện vui vẻ,  nghĩ về con đường phía trước.	2	2303	5	7200
3331	Thủy Thủy Thủy Kim	Chí trai chẳng sờn, khiêm tốn chờ đợi.	Y Lan tịnh tư\nTận cùng trời, mây bay, phản phất vài cành liễu đung đưa.	3	2303	6	7200
33331	Thủy Thủy Thủy Thủy Kim	Cái lợi nhỏ bé trong chốn trần tục, người quân tử không hổ thẹn.	Hái Hoa Cúc\nBụi hồng trần, áo trắng tựa tuyết.	4	2303	7	7200
32	Thủy Mộc	Thổ khắc thủy! Dần vào cảnh giới cao, chưa thật thanh tịnh!	Nhóm lò thuốc\nLửa cháy xanh, đọc cổ thư chờ thần đơn.	1	2303	4	7200
332	Thủy Thủy Mộc	Đất dày dặn, lửa mạnh mẽ! Không hiểu nguyên cớ, hỏi trời xanh.	Xem tinh tượng\nThiên cơ bất khả lộ, tuân theo thiên mệnh.	2	2303	5	7200
3332	Thủy Thủy Thủy Mộc	Tam kim khắc mộc, kiên mộc lập đoạn! Ngày tốt tỉ võ quyết đấu.	Lôi đài tỉ võ\nĐại hiệp nhất định sẽ giành hạng đầu trên lôi đài.	3	2303	6	7200
33332	Thủy Thủy Thủy Thủy Mộc	Tam kim sinh thủy, nước nhiều không chìm! Thời cơ tốt để dụng võ!	Dụng võ\nLà thời cơ tốt dụng võ, thiện tai.	4	2303	7	7200
34	Thủy Hỏa	Tam kim ngộ hỏa, kim đa hỏa dị diệt! Chúng chí thành thành, thiên nan vi khắc.	Đồng sức đồng lòng\nBao nguy khó đều dễ dàng vượt qua.	1	2303	4	7200
334	Thủy Thủy Hỏa	Tam kim tại thổ, phong mang sơ hiện, há để thổ chôn vùi.	Mao Toại tự tiến\nThời cơ không đợi ta, phải tự tiến cử để đi lên.	2	2303	5	7200
