nId	szQuestion	nAnswerId	szA1	szA2	szA3	szA4
1	Cây gì không lá không hoa. Không cành không quả dặm xa hơn nghìn?	1	Cây số	Cây cột	Cây tre	Cây me
2	Cá gì có 4 màu?	2	Cá bảy màu	Cá ngựa	Cá tứ quý	Cá tháng tư
3	Hồng nhan tri kỷ của Đường Ảnh là ai?	4	Khúc Hà	Yên Nhược Tuyết	Dương Anh	Thu Y Thủy
4	Muốn kết bái sư đồ có thể đến NPC nào ở Vong Ưu Đảo?	3	Độc Cô Kiếm	Nạp Lan Tiềm Lẫm	Thượng Quan Phi Long	Nạp Lan Chân
5	Cấp Kiếm Hiệp bao nhiêu có thể tặng ngoại trang Kỳ Trân Các cho đại hiệp khác?	1	10	11	12	13
6	5 con gà 5 ngày đẻ được 5 trứng. Trong 51 ngày muốn được 51 quả trứng thì cần mấy con gà?	2	1	5	11	51
7	Con vật nào lúc đứng ngồi, lúc ngồi cũng ngồi, lúc đi cũng ngồi, ngủ cũng ngồi?	3	Rắn	Bò	Ếch	Chó
8	5 người hát là ngũ ca, 5 ngọn núi là ngũ hành sơn, nếu 5 con quỷ xuất hiện thì gọi thế nào?	2	Ngũ cốc	Cứu mạng!	Ngũ sắc	Ngũ cung
9	Phụ thân của NPC Trương Như Mộng và Trương Lâm Tâm là ai?	4	Dương Thiết Tâm	Nam Cung Diệt	Triệu Thăng Quyền	Trương Phong
10	Người phụ nữ đầu tiên xưng vương của Việt Nam là ai?	1	Trưng Trắc	Trưng Nhị	Triệu Thị Trinh	Lý Chiêu Hoàng
11	Hồng nhan tri kỷ của NPC Dương Ảnh Phong là ai?	3	Tường Vi	Tử Hiên	Nạp Lan Chân	Nguyệt My Nhi
12	Mỗi 1 viên kẹo giá 1 đồng, 2 giấy gói kẹo đổi được 1 viên kẹo. Nếu có 5 đồng sẽ có tối đa mấy viên kẹo?	2	5	9	7	8
13	Ai bị sói ăn vào bụng mà vẫn còn sống?	2	Sói con	Cô bé quàng khăn đỏ	Bạch Tuyết	Cậu bé đầu to
14	Sơn Tinh là sơn thần núi nào?	4	Hồng Lĩnh	Sóc Sơn	Yên Tử	Tản Viên
15	NPC Nạp Lan Tiềm Lẫm là chưởng môn môn phái nào?	1	Vô Ưu Giáo	Ngũ Sắc Giáo	Ngũ Độc Giáo	Thiên Nhẫn Giáo
16	Cái gì có thể chứa được những vật to lớn hơn nó rất nhiều lần?	3	Lọ thuỷ tinh	Tủ lạnh	Tivi	Lò vi sóng
17	Môn phái Tàng Kiếm khắc chế ngũ hành môn phái nào?	1	Ngũ Độc	Thiếu Lâm	Nga Mi	Võ Đang
18	Lang Liêu là con trai của vua Hùng Vương thứ mấy?	2	Thứ 1	Thứ 6	Thứ 7	Thứ 18
19	Điều đáng sợ nhất nhìn thấy khi đang ăn táo?	4	Thấy 1 con sâu	Thấy 5 con sâu	Thấy 7 con sâu	Thấy 1/2 con sâu
20	Cách nào để có thể thức được 7 ngày mà vẫn không thiếu ngủ?	3	Xem tivi	Đọc truyện ma	Ngủ vào ban đêm	Uống thuốc
21	Bên trái có một căn nhà xanh, bên phải có một căn nhà đỏ. Vậy nhà trắng ở đâu? 	3	Ở giữa	Luân Đôn	Washington	Nha Trang
22	Cái gì Adam có hai mà Eva chỉ có một?	1	Chữ A	Chữ E	Chữ O	Chữ Y
23	Phần lớn các hoa hậu thế giới được sinh ra ở đâu không?	2	Ấn Độ	Bệnh viện	Venezuela	Nga
24	Việc đầu tiên sau khi ngủ dậy là gì?	4	Đánh răng	Đứng dậy	Rửa mặt	Mở mắt
25	Trước khi đỉnh Everest được khám phá, đỉnh núi nào cao nhất thế giới?	3	Kilimanjaro	Fansipan	Everest	Phú Sĩ
