nId	nNpcTID	szTitle	nAnswerId	szA1	szA2	szA3	szA4
1	1966	Môn phái Thúy Yên khắc chế ngũ hành môn phái nào?	1	Thiên Nhẫn	Thiếu Lâm	Nga Mi	Võ Đang
2	1966	Bảo Bối bang hội có thể trò chuyện voice tối đa bao nhiêu giây?	4	15 giây	20 giây	25 giây	30 giây
3	1966	Điều nào sau đây sai khi nói về Đồng Hành?	3	Kỳ Tài là ngẫu nhiên	Có thể Tẩy tủy	Không thể sa thải	Có thể Đột phá
4	1966	Kỹ năng đồng hành nào sau đây hỗ trợ miễn sát thương cho đồng đội?	2	Quần Thể Minh Vương	Quần Thể Kim Cang	Quần Thể Độc Chướng	Niết Bàn Trùng Sinh
5	1966	Đá hồn nào sau đây gia tăng tỉ lệ bạo kích cho nhân vật?	1	Trác Phi Phàm	Trương Phong	Nguyệt Minh Dao	Thiệu Hồng Uyên
6	1966	Ai không sử dụng Tịch Tà Kiếm Phổ và Quỳ Hoa Bảo Điển trong tiểu thuyết Tiếu Ngạo Giang Hồ?	1	Nhậm Ngã Hành	 Đông Phương Bất Bại	Nhạc Bất Quần	Lâm Bình Chi
7	1966	Mỗi nhân vật có thể sử dụng bao nhiêu Bí Kíp Võ Lâm (Thượng)?	4	1	2	3	5
8	1966	Ai đã truyền toàn bộ nội lực 70 năm của mình cho Hư Trúc?	2	Thiên Sơn Đồng Lão	Trưởng môn phái Tiêu Dao	Huyền Bi Đại Sư	Mộ Dung Bát
9	1966	Minh Chủ Lệnh dùng để tăng cấp Quân Hàm nào sau đây?	3	Tiềm Long	Ngạo Thế	Lăng Vân	Kinh Hồng
10	1966	Cửa Hàng Danh Vọng của Kỳ Trân Các tạo mới vào thời gian nào?	4	0:00 hàng ngày	4:00 hàng ngày	0:00 Thứ Hai	4:00 Thứ Hai
11	1967	Cần bao nhiêu người để mở Nhiệm vụ Trừng Ác?	3	1	2	3	4
12	1967	Trong tiểu thuyết Kim Dung, sư phụ đầu tiên của Quách Tĩnh là ai?	2	Thành Cát Tư Hãn	Giang Nam Thất Quái	 Mã Ngọc Chân Nhân	Hồng Thất Công
13	1967	Cây gì không lá không hoa. Không cành không quả dặm xa hơn nghìn?	2	Cây cột	Cây số	Cây tre	Cây me
14	1967	Võ Lâm Minh Chủ đạt mốc sinh lực bao nhiêu sẽ nhận được điểm khiêu chiến x2?	4	75%	70%	65%	60%
15	1967	Tiêu Phong là nhân vật của cuốn tiểu thuyết nào của Kim Dung?	1	Thiên Long Bát Bộ	Anh Hùng Xạ Điêu	Tiếu Ngạo Giang Hồ	Khác
16	1967	Thành viên kiến tập mỗi ngày được nhận thêm mấy lần truyền công?	2	1 lần	2 lần 	3 lần	4 lần
17	1967	Nâng cấp Quân Hàm không thể tăng lợi ích nào sau đây?	4	Lực chiến	Sinh lực cơ bản	Kháng tất cả	Lượt truyền công
18	1967	Bang hội Rất Không Năng Động bao nhiêu tuần sẽ bị giải tán?	2	1 tuần	2 tuần	3 tuần	4 tuần
19	1967	Võ Thần Điện có mang tối đa bao nhiêu đồng hành xuất chiến?	3	1	2	4	Không thể mang
20	1967	Quách Tĩnh là chồng của ai trong tiểu thuyết Kim Dung?	1	Hoàng Dung	Tiểu Long Nữ	Nhậm Doanh Doanh	Phương Di
21	1968	Bang hội nào có tư cách tuyên chiến thành Tương Dương?	2	Bang chiếm dã ngoại	Bang chiếm thôn trấn	Bang chiêm Tương Dương	Tất cả các Bang
22	1968	Cấp Kiếm Hiệp bao nhiêu có thể mua Đại Bạch Câu Hoàn	4	3	4	5	6
23	1968	Trân Bảo Các của Bang hội tạo mới vào thời gian nào?	2	0:00 hàng ngày	4:00 ngày ngày	8:00 hàng ngày	12:00 hàng ngày
24	1968	Nguyên liệu nào sau đây không dùng để ghép Tàng Bảo Đồ-Cao?	3	La bàn	Lông sói	Mã bài	Chu sa
25	1968	Lửa trại Bang Hội sẽ bắt đầu vào thời gian nào hàng ngày?	3	19:00	19:10	19:15	19:30
26	1968	Mỗi 10 cấp thân mật hảo hữu sẽ tăng thêm bao nhiêu phần trăm EXP đánh quái dã ngoại?	2	1%	2%	5%	10%
