nId	nFaction	szTitle	nAnswerId	szA1	szA2	szA3	szA4
1	1	[FFFE0D]Thiên Vương[-] là môn phái thuộc tính Ngũ Hành nào	1	Kim	Mộc	Thủy	Hỏa
1	2	[FFFE0D]Nga Mi[-] là môn phái thuộc tính Ngũ Hành nào	2	Mộc	Thủy	Hỏa	Thổ
1	3	[FFFE0D]Đào Hoa[-] là môn phái thuộc tính Ngũ Hành nào	4	Kim	Mộc	Thủy	Hỏa
1	4	[FFFE0D]Tiêu Dao[-] là môn phái thuộc tính Ngũ Hành nào	2	Kim	Mộc	Thủy	Hỏa
1	5	[FFFE0D]Võ Đang[-] là môn phái thuộc tính Ngũ Hành nào	4	Mộc	Thủy	Hỏa	Thổ
1	6	[FFFE0D]Thiên Nhẫn[-] là môn phái thuộc tính Ngũ Hành nào	4	Kim	Mộc	Thủy	Hỏa
1	7	[FFFE0D]Thiếu Lâm[-] thuộc ngũ hành gì?	1	Kim	Mộc	Thủy	Hỏa
1	8	[FFFE0D]Thúy Yên[-] thuộc ngũ hành gì?	2	Mộc	Thủy	Hỏa	Thổ
1	9	[FFFE0D] Đường Môn [-] là phái thuộc tính Ngũ Hành gì?	2	Kim	Mộc	Thủy	Hỏa
1	10	[FFFE0D] Côn Lôn [-] là phái thuộc tính Ngũ Hành gì?	4	Mộc	Thủy	Hỏa	Thổ
1	11	[FFFE0D]Cái Bang[-] là thuộc tính Ngũ Hành nào?	4	Kim	Mộc	Thủy	Hỏa
1	12	[FFFE0D]Ngũ Độc[-] là thuộc tính Ngũ Hành nào?	2	Kim	Mộc	Thủy	Hỏa
1	13	[FFFE0D] Tàng Kiếm [-] thuộc Ngũ Hành nào?	1	Kim	Mộc	Thủy	Hỏa
1	14	[FFFE0D] Trường Ca [-] thuộc Ngũ Hành nào?	4	Mộc	Thủy	Hỏa	Thổ
1	15	[FFFE0D]Thiên Sơn[-] là môn phái thuộc tính ngũ hành nào?	2	Mộc	Thủy	Hỏa	Thổ
1	16	[FFFE0D]Bá Đao[-] là môn phái thuộc tính Ngũ Hành nào?	1	Kim	Mộc	Thủy	Hỏa
1	17	[FFFE0D]Hoa Sơn[-] là môn phái có thuộc tính ngũ hành nào?	2	Kim	Mộc	Thủy	Hỏa
1	18	[FFFE0D] Minh Giáo [-] là môn phái thuộc tính ngũ hành gì	4	Kim	Mộc	Thủy	Hỏa
2	1	[FFFE0D]Hệ Kim khắc[-] thuộc tính hệ nào	1	Mộc	Thủy	Hỏa	Thổ
2	2	[FFFE0D]Hệ Thủy khắc[-] thuộc tính hệ nào	3	Kim	Mộc	Hỏa	Thổ
2	3	[FFFE0D]Hệ Hỏa khắc[-] thuộc tính hệ nào	1	Kim	Mộc	Thủy	Thổ
