TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ShowType
4058	Giường Gỗ Tùng	Furniture_chuang_1	34	4058	4058		FurnitureItem	999	Giường làm bằng gỗ Tùng, vừa đẹp vừa bền\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	600000	1	1	1000	2	1	1	99999	1										
4059	Giường Bạch Dương	Furniture_chuang_2	34	4059	4059		FurnitureItem	999	Giường làm bằng gỗ Bạch Dương, đầu giường có hoa văn đỏ, tượng trưng cho hạnh phúc, bình an\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	1500000	1	1	1000	3	1	1	99999	2										
4060	Giang Phong Ngư Hỏa	Furniture_chuang_3	34	4060	4060		FurnitureItem	999	Giường được trang trí bằng màu của lá Phong, đầu giường có treo Trường Minh Đăng để chúc mừng hạnh phúc\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	3000000	1	1	1000	4	1	1	99999	3										
4061	Hồng Loan Thê Chi	Furniture_chuang_4	34	4061	4061		FurnitureItem	999	Giường màu đỏ đậm, đầu giường có hình cây liền cành, ngụ ý bách niên giai lão\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	8000000	1	1	1000	5	1	1	99999	4										
4062	Kim Long Hí Châu	Furniture_chuang_5	34	4062	4062		FurnitureItem	999	Giường gỗ quý hiếm, có mùi thơm nhẹ, có hình Rồng Vàng đẹp mắt.「Hồng lí hí minh châu, kim long du thiên vân」\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	16000000	1	1	1000	6	1	1	99999	5										
10784	La Trướng Phi Các 	Furniture_chuang_6	34	50069	50069		FurnitureItem	999	Giường được trang trí theo họa tiết hoa cúc, nước sơn được mạ vàng rất hiếm, đầu và đuôi lan can hình cung giơ lên, kết khung đính, có rất nhiều họa tiết đẹp được thiết kế trong đó\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	32000000	1	1	1000	6	1	1	99999	6										
10785	Phượng Lai Nghi 	Furniture_chuang_7	34	50070	50070		FurnitureItem	999	Tuyệt phẩm được làm nguyên khối từ tơ vàng cây lim khắc thành, đầu giường được khắc bằng ngọc đôi song phượng cúi xuống.「Phượng lai Nnghi, tiêu thiều cửu thành」\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	64000000	1	1	1000	7	1	1	99999	7										
4063	Tủ Gỗ Tùng	Furniture_guizi_1	34	4063	4063		FurnitureItem	999	Tủ làm bằng gỗ Tùng, vừa đẹp vừa bền\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	300000	1	1	1000	2	1	1	99999	501										
4064	Tủ Bạch Dương	Furniture_guizi_2	34	4064	4064		FurnitureItem	999	Tủ làm bằng gỗ Bạch Dương, màu đậm tinh tế\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	750000	1	1	1000	3	1	1	99999	502										
4065	Tủ Mặc Hương	Furniture_guizi_3	34	4065	4065		FurnitureItem	999	Tủ sơn màu xanh mực, có mùi mực thơm nhè nhẹ\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	1500000	1	1	1000	4	1	1	99999	503										
4066	Tủ Sắc Màu	Furniture_guizi_4	34	4066	4066		FurnitureItem	999	Tủ có màu sắc tươi sáng đẹp mắt\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	3000000	1	1	1000	5	1	1	99999	504										
4068	Tủ Tử Đàn	Furniture_guizi_5	34	4068	4068		FurnitureItem	999	Tủ làm bằng gỗ Tử Đàn cao cấp, viền vàng, vừa cao quý vừa thanh tao\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	6000000	1	1	1000	6	1	1	99999	505										
10786	Tủ Bát Nạm Vàng 	Furniture_guizi_31	34	50071	50071		FurnitureItem	999	Đặc phẩm hiếm thấy được chế tạo theo nguyên khối bằng những nguyên liệu hiếm có, Gỗ chuẩn kết hợp với nguyên liệu hoàng kim, công nghệ tinh xảo, tự nhiên tạo nên\n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	12000000	1	1	1000	6	1	1	99999	531										
10787	Tủ Bát Hoàng Kim 	Furniture_guizi_32	34	50072	50072		FurnitureItem	999	Đặc phẩm hiếm thấy được chế tạo theo nguyên khối bằng những nguyên liệu hiếm có, nguyên liệu hoàng kim do đệ nhất thợ kim hoàn thủ công điêu khắc, vật liệu gỗ hoàng kim hợp nhau lại càng tăng thêm sức mạnh, làm cho ngươi xem thế là đủ rồi \n\n[FFFE0D]Đặt xong có thể nhấp để dùng[-]	24000000	1	1	1000	7	1	1	99999	532										
4067	Kệ Sách Gỗ Tùng	Furniture_guizi_6	34	4067	4067		FurnitureItem	999	Kệ sách làm từ Gỗ Tùng, hoa văn thiên nhiên, rất bền	300000	1	1	1000	2	1	1	99999	506										
4069	Kệ Sách Bạch Dương	Furniture_guizi_7	34	4069	4069		FurnitureItem	999	Kệ sách làm từ Bạch Dương, màu hơi sậm trông rất chắc chắn.	750000	1	1	1000	3	1	1	99999	507										
4070	Kệ Sách Mặc Hương	Furniture_guizi_8	34	4070	4070		FurnitureItem	999	Kệ sách sơn màu lam đậm, tỏa mùi thơm thoang thoảng	1500000	1	1	1000	4	1	1	99999	508										
4071	Kệ Sách Sắc Màu	Furniture_guizi_9	34	4071	4071		FurnitureItem	999	Kệ sách có màu sắc rực rỡ luôn thay đổi	3000000	1	1	1000	5	1	1	99999	509										
4072	Kệ Sách Tử Đàn	Furniture_guizi_10	34	4072	4072		FurnitureItem	999	Kệ sách làm từ Gỗ Tử Đàn thượng hạng, viền trang trí bằng vàng, trông rất sang trọng	6000000	1	1	1000	6	1	1	99999	510										
10788	Kệ Sách Nạm Vàng 	Furniture_guizi_33	34	50073	50073		FurnitureItem	999	dĩ hiếm thấy thượng phẩm hoa cúc lê Mộc chế thành giá sách, Gỗ chuẩn hợp chỗ giai tương dĩ hoàng kim, công nghệ kỹ càng, hồn nhiên thiên thành 	12000000	1	1	1000	6	1	1	99999	533										
10789	Kệ Sách Hoàng Kim 	Furniture_guizi_34	34	50074	50074		FurnitureItem	999	tuyệt phẩm tơ vàng cây lim dữ mấy trăm khối hoàng kim giao thác chế tạo mà thành giá sách, hoàng kim chỗ canh do đương đại đệ nhất thợ kim hoàn thủ công điêu khắc, vật liệu gỗ hoàng kim hợp nhau lại càng tăng thêm sức mạnh, làm cho xem thế là đủ rồi 	24000000	1	1	1000	7	1	1	99999	534										
4073	Kệ Gỗ Tùng	Furniture_guizi_11	34	4073	4073		FurnitureItem	999	Kệ bác cổ làm từ Gỗ Tùng, hoa văn thiên nhiên, rất bền	300000	1	1	1000	2	1	1	99999	511										
4074	Kệ Bạch Dương	Furniture_guizi_12	34	4074	4074		FurnitureItem	999	Kệ cổ làm từ Bạch Dương, màu hơi sậm trông rất chắc chắn.	750000	1	1	1000	3	1	1	99999	512										
4075	Kệ Mặc Hương	Furniture_guizi_13	34	4075	4075		FurnitureItem	999	Kệ cổ sơn màu lam đậm, tỏa mùi thơm thoang thoảng	1500000	1	1	1000	4	1	1	99999	513										
4076	Kệ Sắc Màu	Furniture_guizi_14	34	4076	4076		FurnitureItem	999	Kệ cổ có màu sắc rực rỡ luôn thay đổi	3000000	1	1	1000	5	1	1	99999	514										
4077	Kệ Tử Đàn	Furniture_guizi_15	34	4077	4077		FurnitureItem	999	Kệ cổ làm từ Gỗ Tử Đàn thượng hạng, viền trang trí bằng vàng, trông rất sang trọng	6000000	1	1	1000	6	1	1	99999	515										
10790	Kệ Nạm Vàng 	Furniture_guizi_35	34	50075	50075		FurnitureItem	999	dĩ hiếm thấy thượng phẩm hoa cúc lê Mộc chế thành bác cổ cái, Gỗ chuẩn hợp chỗ giai tương dĩ hoàng kim, công nghệ kỹ càng, hồn nhiên thiên thành 	12000000	1	1	1000	6	1	1	99999	535										
10791	Kệ Hoàng Kim 	Furniture_guizi_36	34	50076	50076		FurnitureItem	999	tuyệt phẩm tơ vàng cây lim dữ mấy trăm khối hoàng kim giao thác chế tạo mà thành bác cổ cái, hoàng kim chỗ canh do đương đại đệ nhất thợ kim hoàn thủ công điêu khắc, vật liệu gỗ hoàng kim hợp nhau lại càng tăng thêm sức mạnh, làm cho xem thế là đủ rồi 	24000000	1	1	1000	7	1	1	99999	536										
4078	Kệ Đồ Gỗ Tùng	Furniture_guizi_16	34	4078	4078		FurnitureItem	999	Kệ đồ vật làm từ Gỗ Tùng, hoa văn thiên nhiên, rất bền	300000	1	1	1000	2	1	1	99999	516										
4079	Kệ Đồ Bạch Dương	Furniture_guizi_17	34	4079	4079		FurnitureItem	999	Kệ đồ làm từ Bạch Dương, màu hơi sậm trông rất chắc chắn.	750000	1	1	1000	3	1	1	99999	517										
4080	Kệ Đồ Mặc Hương	Furniture_guizi_18	34	4080	4080		FurnitureItem	999	Kệ đồ sơn màu lam đậm, tỏa mùi thơm thoang thoảng	1500000	1	1	1000	4	1	1	99999	518										
4081	Kệ Đồ Sắc Màu	Furniture_guizi_19	34	4081	4081		FurnitureItem	999	Kệ đồ có màu sắc rực rỡ luôn thay đổi	3000000	1	1	1000	5	1	1	99999	519										
4082	Kệ Đồ Tử Đàn	Furniture_guizi_20	34	4082	4082		FurnitureItem	999	Kệ đồ làm từ Gỗ Tử Đàn thượng hạng, viền trang trí bằng vàng, trông rất sang trọng	6000000	1	1	1000	6	1	1	99999	520										
10792	Kệ Đồ Nạm Vàng 	Furniture_guizi_37	34	50077	50077		FurnitureItem	999	dĩ hiếm thấy thượng phẩm hoa cúc lê Mộc chế thành tạp vật cái, Gỗ chuẩn hợp chỗ giai tương dĩ hoàng kim, công nghệ kỹ càng, hồn nhiên thiên thành 	12000000	1	1	1000	6	1	1	99999	537										
10793	Kệ Đồ Hoàng Kim 	Furniture_guizi_38	34	50078	50078		FurnitureItem	999	tuyệt phẩm tơ vàng cây lim dữ mấy trăm khối hoàng kim giao thác chế tạo mà thành tạp vật cái, hoàng kim chỗ canh do đương đại đệ nhất thợ kim hoàn thủ công điêu khắc, vật liệu gỗ hoàng kim hợp nhau lại càng tăng thêm sức mạnh, làm cho xem thế là đủ rồi 	24000000	1	1	1000	7	1	1	99999	538										
4083	Kệ Ngăn Gỗ Tùng	Furniture_guizi_21	34	4083	4083		FurnitureItem	999	Tủ nhiều ngăn làm từ Gỗ Tùng, hoa văn thiên nhiên, rất bền	300000	1	1	1000	2	1	1	99999	521										
4084	Kệ Ngăn Bạch Dương	Furniture_guizi_22	34	4084	4084		FurnitureItem	999	Tủ nhiều ngăn làm từ Bạch Dương, màu hơi sậm trông rất chắc chắn.	750000	1	1	1000	3	1	1	99999	522										
4085	Kệ Ngăn Mặc Hương	Furniture_guizi_23	34	4085	4085		FurnitureItem	999	Tủ nhiều ngăn sơn màu lam đậm, tỏa mùi thơm thoang thoảng	1500000	1	1	1000	4	1	1	99999	523										
4086	Kệ Ngăn Sắc Màu	Furniture_guizi_24	34	4086	4086		FurnitureItem	999	Tủ nhiều ngăn có màu sắc rực rỡ luôn thay đổi	3000000	1	1	1000	5	1	1	99999	524										
4087	Kệ Ngăn Tử Đàn	Furniture_guizi_25	34	4087	4087		FurnitureItem	999	Tủ nhiều ngăn làm từ Gỗ Tử Đàn thượng hạng, viền trang trí bằng vàng, trông rất sang trọng	6000000	1	1	1000	6	1	1	99999	525										
