nId	szQuestion	nAnswerId	szA1	szA2	szA3	szA4
1	Ai là một trong “Tây Sơn Thất Hổ Tướng”?	1	Võ Đình Tú	Phạm Hạp	Nguyễn Bặc	Phạm Cự Lượng
2	Ai đứng đầu “Tây Sơn Thất Hổ Tướng”?	4	Lý Văn Bưu	Trần Quang Diệu	Lê Văn Hưng	Võ Văn Dũng
3	Nỏ Liên Châu là vũ khí nổi tiếng của triều đại nào?	2	Văn Lang	Âu Lạc	Nhà Lý	Nhà Trần
4	Súng Thần Cơ là phát minh của ai?	2	Hồ Quý Ly	Hồ Nguyên Trừng	Lý Thánh Tông	Lê Thái Tổ
5	Vị khoa bảng nào sống trải qua 13 đời vua Nguyễn?	1	Đoàn Tử Quang	Lê Văn Hưu	Lê Văn Duyệt	Nguyễn Văn Thành
6	Trạng nguyên đầu tiên của Việt Nam là ai?	3	Nguyễn Hiền	Lê Văn Hưu	Lê Văn Thịnh	Lê Quý Đôn
7	Trạng nguyên nhỏ tuổi nhất của Việt Nam là ai?	1	Nguyễn Hiền	Lê Văn Hưu	Lê Văn Thịnh	Lê Quý Đôn
8	Nữ tiến sĩ duy nhất của lịch sử khoa cử Việt Nam là ai?	2	Hồ Xuân Hương	Nguyễn Thị Duệ	Bùi Thị Xuân	Lê Chân
9	Tỉnh nào có bề ngang hẹp nhất nước ta?	2	Quảng Nam	Quảng Bình	Quảng Ngãi	Quảng Trị
10	Sông nào từng chia cắt đất nước thành Đàng Trong và Đàng Ngoài?	4	Thu Bồn	Kiến Giang	Thạch Hãn	Sông Gianh
11	Tỉnh nào sau đây không thuộc khu vực miền Trung?	1	Bình Phước	Ninh Thuận	Khánh Hòa	Bình Định
12	Cù Lao Chàm là đảo du lịch của tỉnh nào?	3	Quảng Bình	Quảng Trị	Quảng Nam	Quảng Ngãi
13	Ngọn hải đăng nào cao nhất Việt Nam?	1	Kê Gà	Vũng Tàu	Đại Lãnh	Hòn Dấu
14	Tỉnh nào đón bình minh sớm nhất Việt Nam?	3	Thanh Hóa	Quảng Nam	Khánh Hòa	Bình Thuận
15	"Thiên Hạ Đệ Nhất Hùng Quan" là chỉ?	3	Đèo Cả	Đèo Ngang	Đèo Hải Vân	Đèo Đắk Nuê
16	Triều đại phong kiến nào tồn tại ngắn nhất?	4	Nhà Tiền Lê	Nhà Đinh	Nhà Ngô	Nhà Hồ
17	Triều đại phong kiến nào tồn tại lâu nhất?	2	Nhà Lý	Nhà Hậu Lê	Nhà Nguyễn	Nhà Trần
18	Hoàng tử nào của nhà Lý nổi danh tại Hàn Quốc?	1	Lý Long Tường	Lý Long Xưởng	Lý Long Minh	Lý Long Ích
19	Việt Nam có bao nhiêu thành phố trực thuộc trung ương?	3	3	4	5	6
20	Theo truyền thuyết, Nam Tào Bắc Đẩu giữ nhiệm vụ gì?	2	Giữ cổng trời	Sổ sinh tử	Trông mưa nắng	Luyện đan
21	Tỉnh nào có diện tích nhỏ nhất miền Bắc Việt Nam?	2	Thái Bình	Bắc Ninh	Hà Nam	Hải Dương
22	Kinh thành Huế được bắt đầu xây dựng từ thời vua nào?	1	Gia Long	Minh Mạng	Thiệu Trị	Tự Đức
23	Hoa dâm bụt là quốc hoa của nước nào?	3	Lào	Thái Lan	Malaysia	Singapore
24	Nước nào không dùng Euro là đơn vị tiền tệ chính thức?	4	Pháp	Ý	Hy Lạp	Nga
25	Rừng tràm Trà Sư là địa điểm nổi tiếng của tỉnh nào?	4	Kiên Giang	Cà Mau	Đồng Tháp	An Giang
26	Tên gọi Kon Tum có ý nghĩa là gì?	2	Làng Mía	Làng Hồ	Làng Voi	Làng Thông
27	Danh thắng Gành Đá Dĩa thuộc tỉnh nào?	3	Ninh Thuân	Khánh Hòa	Phú Yên	Bình Định
28	Huyện đảo nào thuộc tỉnh Quảng Ninh?	1	Bạch Long Vĩ	Thổ Chu	Phú Quốc	Lý Sơn
29	Trên tờ tiền polymer 20.000 đồng in hình kiến trúc nào?	3	Cố đô Huế	Vịnh Hạ Long	Chùa Cầu	Văn Miếu
30	Cố đô Hoa Lư thuộc tỉnh nào?	2	Hà Nam	Ninh Bình	Thanh Hóa	Nghệ An
31	Đại La là tên cũ của tỉnh thành nào?	3	Thừa Thiên Huế	Phú Yên	Hà Nội	Quảng Nam
32	Tác phẩm nào sau đây không phải của nhà văn Nam Cao?	2	Chí Phèo	Sổ đỏ	Sống mòn	Lão Hạc
33	Tổng đàn Nhật Nguyệt Thần Giáo trong Tiếu Ngạo Giang Hồ nằm ở đâu?	1	Hắc Mộc Nhai	Vọng Hải Nhai	Đoạn Tình Nhai	Ưng Sầu Nhai
34	Sông đi qua nhiều nước nhất trên thế giới là?	1	Sông Danube	Sông Amazon	Trường Giang	Sông Nin
35	Động vật nào xếp thứ 6 trong 12 con giáp?	2	Hổ	Rắn	Dê	Heo
36	Đâu không phải là di sản văn hóa phi vật thể được UNESCO công nhận?	4	Ca trù	Hát xoan	Hò Huế	Bài chòi
37	Ủy thác rời mạng có thể tích lũy tối đa bao nhiêu giờ?	3	24 giờ	36 giờ	48 giờ	72 giờ
38	Thạch Sanh được ai tặng cây đàn thần?	4	Chằn tinh	Công chúa	Lý Thông	Con Thủy Tề
39	Môn phái Tàng Kiếm khắc chế ngũ hành môn phái nào?	1	Ngũ Độc	Thiếu Lâm	Nga Mi	Võ Đang
40	Truyện Lục Vân Tiên là tác phẩm của nhà thơ nổi tiếng nào?	3	Nguyễn Du	Nguyễn Trãi	Nguyễn Đình Chiểu	Nguyễn Bỉnh Khiêm
41	Đá hồn nào sau đây gia tăng tỉ lệ bạo kích cho nhân vật?	1	Trác Phi Phàm	Trương Phong	Nguyệt Minh Dao	Thiệu Hồng Uyên
