SubKind	ParentKind	Level	FinishCount	NeedPush	ListType	Title	Desc	Award	AwardTitle
Chat_Private	Chat	1	1			Trò Chuyện	Trò chuyện với người khác	Gold|5	
Chat_Emotion	Chat	2	1			Ngôn từ phong phú	Gửi biểu cảm ở bất kỳ kênh nào	Gold|5	
Chat_Voice	Chat	3	1			Dư Âm Nhiễu Lương	Dùng voice chat thành công	Gold|5	
Chat_Public	Chat	4	1			Xin chào!	Gửi tin chat cộng đồng	Gold|5	
Chat_Color	Chat	5	1			Thiên Lý Truyền Âm	Gửi tin chat màu	Gold|10	
Angry_Normal	Angry	1	1			Nộ Khí Xung Thiên	Thi triển kỹ năng Nộ Khí	Gold|5	
QuickTeamUp_Normal	QuickTeamUp	1	1			Lập Tổ Đội	Dùng tổ đội nhanh tham gia 1 lần hoạt động tổ đội	Gold|5	
Prison_1	Prison	1	1			Truy Nã	Lần đầu dùng Truy Nã khiêu chiến người chơi khác	Gold|5	
Title_Normal	Title	1	1			Danh Hiệu Võ Lâm	Nhận 1 danh hiệu	Gold|10	
Title_Purple	Title	2	1			Có Chút Danh Tiếng	Nhận 1 danh hiệu Tím	Gold|30	
Title_Pink	Title	3	1			Danh Tiếng Vang Xa	Nhận 1 danh hiệu Hồng	Gold|50	
Title_Orange	Title	4	1	1		Thanh Danh Hiển Hách	Nhận 1 danh hiệu Cam	Gold|100	
Title_Gold	Title	5	1	1		Danh Chấn Giang Hồ	Nhận 1 Danh hiệu Vàng	Gold|300	
Charm_1	Charm	1	500	1		Có Chút Nhan Sắc	Hấp dẫn đạt 500	Gold|10	
Charm_1	Charm	2	2000	1	1	Như Hoa Tự Ngọc	Hấp dẫn đạt 2000	Gold|30;Item|6990|1	
Charm_1	Charm	3	5000	1	1	Tuyệt Sắc Mỹ Nhân	Hấp dẫn đạt 5000	Gold|50;Item|6991|1	
Charm_1	Charm	4	20000	1	1	Khuynh Quốc Khuynh Thành	Hấp dẫn đạt 20000	Gold|100;Item|6992|1	
Charm_1	Charm	5	100000	1		Ai Thấy Cũng Yêu	Hấp dẫn đạt 100000	Gold|300	1068
Partner_1	Partner	1	1			Bạn thân	Nhận Đồng Hành lần đầu	Gold|5	
Partner_2	Partner	2	1			Hào Kiệt Giang Hồ	Lần đầu nhận được Đồng Hành Cấp A trở lên	Gold|5	
Partner_3	Partner	3	1			Đồng Hành Đầy Đủ	Xuất chiến đủ 4 Đồng Hành	Gold|10	
Partner_4	Partner	4	1			Hiệp Khách Giang Hồ	Lần đầu nhận được Đồng Hành Cấp S trở lên	Gold|30	
Partner_5	Partner	5	1	1		Cùng Nhau Xuất Chiến	Xuất chiến 4 đồng hành Cấp S trở lên	Gold|100	1000
FriendFamiliar_1	FriendFamiliar	1	3			Tình Bạn Chân Thành	Độ thân mật cùng 3 hảo hữu đạt Lv5	Gold|30	
FriendFamiliar_2	FriendFamiliar	2	3			Tình Thâm Ý Trọng	Độ thân mật cùng 3 hảo hữu đạt Lv10	Gold|50	
FriendFamiliar_3	FriendFamiliar	3	3			Can Đảm Tương Chiếu	Độ thân mật cùng 3 hảo hữu đạt Lv20	Gold|100	
FriendFamiliar_4	FriendFamiliar	4	3			Tâm Đầu Ý Hợp	Độ thân mật cùng 3 hảo hữu đạt Lv30	Gold|300	
FriendFamiliar_5	FriendFamiliar	5	3	1		Sinh Tử Có Nhau	Độ thân mật cùng 3 hảo hữu đạt Lv40	Gold|500	1002
Foe_1	Foe	1	1			Khiêu chiến kẻ địch	Lần đầu thông qua giao diện kẻ địch khiêu chiến người chơi khác	Gold|5	
Family_1	Family	1	1			Nhân Tại Giang Hồ	Vào Bang Hội thành công	Gold|5	
Family_2	Family	2	1			Nơi Dừng Chân	Vào bản đồ Bang Hội	Gold|5	
Family_3	Family	3	1			Quà Bang Hội	Nhận Hộp Quà Bang Hội thành công	Gold|5	
Family_4	Family	4	1			Chế Tạo Trang Bị	Tạo trang bị ở Bang Hội Tác Phường 1 lần	Gold|10	
Family_5	Family	5	1			Lửa Trại Bang Hội	Tham gia 1 lần Hoạt động Lửa Trại Bang Hội	Gold|20	
GetMeFight_1	GetMeFight	1	1			Truyền Công	Tích lũy truyền công hoặc được truyền công 1 lần	Gold|10	
GetMeFight_1	GetMeFight	2	3			Tiệm Nhập Giai Cảnh	Tích lũy truyền công hoặc được truyền công 3 lần	Gold|10	
GetMeFight_1	GetMeFight	3	10			Công Lực Thâm Hậu	Tích lũy truyền công hoặc được truyền công 10 lần	Gold|20	
GetMeFight_1	GetMeFight	4	30			Tu Vi Tinh Xảo	Tích lũy truyền công hoặc được truyền công 30 lần	Gold|30	1006
GetMeFight_1	GetMeFight	5	100	1		Lô Hỏa Thuần Thanh	Tích lũy truyền công hoặc được truyền công 100 lần	Gold|50	1007
FamilyContribute_1	FamilyContribute	1	1			Góp Bang Hội	Hoàn thành 1 lần Góp Bang Hội	Gold|10	
FamilyContribute_1	FamilyContribute	2	10			Tự Nguyện Đóng Góp	Hoàn thành 10 lần Góp Bang Hội	Gold|20	
FamilyContribute_1	FamilyContribute	3	50			Công Trạng Vang Dội	Hoàn thành 50 lần Góp Bang Hội	Gold|30	
FamilyContribute_1	FamilyContribute	4	200			Trụ Cột	Hoàn thành 200 lần Góp Bang Hội	Gold|50	
FamilyContribute_1	FamilyContribute	5	1000	1		Hào Phóng	Hoàn thành 1000 lần Góp Bang Hội	Gold|100	1008
